rank,是否ICC,简称 Employer (Petitioner) Name,全名 Employer (Petitioner) Name,Beneficiaries Approved,排名变化
1,,Amazon,AMAZON,14434,
2,Y,TCS,TATA CONSULTANCY SERVICES LIMITED,9943,
3,,Google,GOOGLE LLC,8378,
4,,Microsoft,MICROSOFT CORPORATION,7174,
5,Y,Infosys,INFOSYS LIMITED,7071,
6,,Meta,META PLATFORMS INC,6177,
7,Y,Cognizant,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,5784,
8,,Apple,APPLE INC,5020,
9,,Deloitte,DELOITTE CONSULTING LLP,4226,
10,,Intel,INTEL CORPORATION,3532,
11,,JPMorgan Chase,JPMORGAN CHASE AND CO,3113,
12,,IBM,IBM CORPORATION,3053,
13,Y,Capgemini,CAPGEMINI AMERICA INC,3004,
14,,EY,ERNST AND YOUNG U S LLP,3000,
15,Y,HCL,HCL AMERICA INC,2960,
16,,Oracle,ORACLE AMERICA INC,2700,
17,,Walmart,WAL-MART ASSOCIATES INC,2638,
18,,Cisco,CISCO SYSTEMS INC,2537,
19,,Salesforce,SALESFORCE INC,2230,
20,Y,Wipro,WIPRO LIMITED,2122,
21,,Accenture,ACCENTURE LLP,2094,
22,,Qualcomm,QUALCOMM TECHNOLOGIES INC,1448,
23,,Fidelity,FIDELITY TECHNOLOGY GROUP LLC D B A FIDELITY INVESTMENTS,1395,
24,,LinkedIn,LINKEDIN CORPORATION,1377,
25,Y,L&T Infotech,LARSEN AND TOUBRO INFOTECH LIMITED,1346,
26,,Compunnel,COMPUNEL INC,1309,
27,Y,Tech Mahindra,TECH MAHINDRA AMERICAS INC,1156,
28,,NVIDIA,NVIDIA CORPORATION,1122,
29,,PwC,PRICEWATERHOUSECOOPERS LLP,1099,
30,,Uber,UBER TECHNOLOGIES INC,1060,

