rank,是否ICC,简称 Employer (Petitioner) Name,全名 Employer (Petitioner) Name,Beneficiaries Approved,排名变化
1,Y,Cognizant,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,29358,
2,Y,TCS,TATA CONSULTANCY SERVICES LIMITED,14960,
3,Y,Infosys,INFOSYS LIMITED,13655,
4,,Deloitte,DELOITTE CONSULTING LLP,7328,
5,Y,Wipro,WIPRO LIMITED,6822,
6,,Accenture,ACCENTURE LLP,5093,
7,Y,Tech Mahindra,TECH MAHINDRA AMERICAS INC,4913,
8,Y,HCL,HCL AMERICA INC,4452,
9,,Microsoft,MICROSOFT CORPORATION,4064,
10,,Amazon,AMAZON,3851,
11,,IBM,IBM CORPORATION,3838,
12,,EY,ERNST AND YOUNG U S LLP,3112,
13,Y,Capgemini,CAPGEMINI AMERICA INC,3003,
14,,PwC,PRICEWATERHOUSECOOPERS LLP,2551,
15,,Google,GOOGLE LLC,2293,
16,,Intel,INTEL CORPORATION,2152,
17,Y,Syntel,SYNTEL INC,2143,
18,,Apple,APPLE INC,2063,
19,Y,L&T Infotech,LARSEN AND TOUBRO INFOTECH LIMITED,1915,
20,,Cisco,CISCO SYSTEMS INC,1593,
21,,JPMorgan Chase,JPMORGAN CHASE AND CO,1517,
22,Y,L&T Technology Services,LARSEN AND TOUBRO TECHNOLOGY SERVICES LIMITED,1504,
23,,Meta,META PLATFORMS INC,1254,
24,Y,Mphasis,MPHASIS LIMITED,1201,
25,,Oracle,ORACLE AMERICA INC,1101,
26,Y,UST,UST GLOBAL INC,1075,
27,Y,Mindtree,MINDTREE LIMITED,994,
28,,Qualcomm,QUALCOMM TECHNOLOGIES INC,948,
29,Y,Hexaware,HEXAWARE TECHNOLOGIES INC,947,
30,,KPMG,KPMG LLP,928,

