rank,是否ICC,简称 Employer (Petitioner) Name,全名 Employer (Petitioner) Name,Beneficiaries Approved,排名变化
1,,Amazon,AMAZON,14044,
2,Y,Cognizant,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,7556,
3,Y,Infosys,INFOSYS LIMITED,7050,
4,Y,TCS,TATA CONSULTANCY SERVICES LIMITED,6843,
5,,Google,GOOGLE LLC,5407,
6,,Microsoft,MICROSOFT CORPORATION,4752,
7,,Apple,APPLE INC,3760,
8,,Deloitte,DELOITTE CONSULTING LLP,3340,
9,,Meta,META PLATFORMS INC,3311,
10,,JPMorgan Chase,JPMORGAN CHASE AND CO,3038,
11,Y,Capgemini,CAPGEMINI AMERICA INC,2744,
12,Y,HCL,HCL AMERICA INC,2681,
13,,Walmart,WAL-MART ASSOCIATES INC,2486,
14,,EY,ERNST AND YOUNG U S LLP,2485,
15,,IBM,IBM CORPORATION,2423,
16,Y,Wipro,WIPRO LIMITED,2285,
17,,Oracle,ORACLE AMERICA INC,2102,
18,,Intel,INTEL CORPORATION,2079,
19,,Accenture,ACCENTURE LLP,1866,
20,,Cisco,CISCO SYSTEMS INC,1462,
21,Y,LTIMindtree,LTIMINDTREE LIMITED,1349,
22,Y,Tech Mahindra,TECH MAHINDRA AMERICAS INC,1297,
23,,Fidelity,FIDELITY TECHNOLOGY GROUP LLC D B A FIDELITY INVESTMENTS,1290,
24,,Compunnel,COMPUNEL INC,1287,
25,,Qualcomm,QUALCOMM TECHNOLOGIES INC,1213,
26,,Citibank,CITIBANK N A,1091,
27,,Tesla,TESLA INC,1080,
28,,Salesforce,SALESFORCE INC,1007,
29,,NVIDIA,NVIDIA CORPORATION,985,
30,Y,Mphasis,MPHASIS LIMITED,811,

