rank,是否ICC,简称 Employer (Petitioner) Name,全名 Employer (Petitioner) Name,Beneficiaries Approved,排名变化
1,,Amazon,AMAZON,13114,
2,Y,Infosys,INFOSYS LIMITED,7832,
3,Y,TCS,TATA CONSULTANCY SERVICES LIMITED,7442,
4,Y,Cognizant,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,6987,
5,,Google,GOOGLE LLC,5319,
6,,Meta,META PLATFORMS INC,4775,
7,,Microsoft,MICROSOFT CORPORATION,4707,
8,,Apple,APPLE INC,3860,
9,Y,HCL,HCL AMERICA INC,2907,
10,,Walmart,WAL-MART ASSOCIATES INC,2898,
11,,IBM,IBM CORPORATION,2878,
12,,Capgemini,CAPGEMINI AMERICA INC,2736,
13,,Intel,INTEL CORPORATION,2515,
14,,Deloitte,DELOITTE CONSULTING LLP,2465,
15,,EY,ERNST AND YOUNG U S LLP,2308,
16,,Accenture,ACCENTURE LLP,2112,
17,,Oracle,ORACLE AMERICA INC,2051,
18,Y,LTIMindtree,LTIMINDTREE LIMITED,2027,
19,,Tesla,TESLA INC,1750,
20,,JPMorgan Chase,JPMORGAN CHASE AND CO,1670,
21,,Fidelity,FIDELITY TECHNOLOGY GROUP LLC D B A FIDELITY INVESTMENTS,1588,
22,Y,Wipro,WIPRO LIMITED,1571,
23,,Salesforce,SALESFORCE INC,1517,
24,,NVIDIA,NVIDIA CORPORATION,1502,
25,,Cisco,CISCO SYSTEMS INC,1319,
26,Y,Tech Mahindra,TECH MAHINDRA AMERICAS INC,1184,
27,,Qualcomm,QUALCOMM TECHNOLOGIES INC,1119,
28,,Compunnel,COMPUNEL INC,998,
29,,LinkedIn,LINKEDIN CORPORATION,964,
30,,Citibank,CITIBANK N A,850,

