rank,是否ICC,简称 Employer (Petitioner) Name,全名 Employer (Petitioner) Name,Beneficiaries Approved,排名变化
1,,Amazon,AMAZON,16834,
2,,Meta,META PLATFORMS INC,6276,
3,,Microsoft,MICROSOFT CORPORATION,6241,
4,Y,TCS,TATA CONSULTANCY SERVICES LIMITED,6021,⬇️1
5,,Google,GOOGLE LLC,5436,
6,,Apple,APPLE INC,5360,
7,Y,Cognizant,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,3843,⬇️3
8,,Walmart,WAL-MART ASSOCIATES INC,3224,
9,,Deloitte,DELOITTE CONSULTING LLP,2946,
10,,JPMorgan Chase,JPMORGAN CHASE AND CO,2927,
11,Y,Infosys,INFOSYS LIMITED,2848,⬇️9
12,,Oracle,ORACLE AMERICA INC,2659,
13,,EY,ERNST AND YOUNG U S LLP,2255,
14,Y,HCL,HCL AMERICA INC,2188,⬇️5
15,,Capgemini,CAPGEMINI AMERICA INC,2153,
16,,Intel,INTEL CORPORATION,2040,
17,,Cisco,CISCO SYSTEMS INC,1987,
18,,IBM,IBM CORPORATION,1899,
19,,Accenture,ACCENTURE LLP,1814,
20,,NVIDIA,NVIDIA CORPORATION,1759,
21,Y,Wipro,WIPRO LIMITED,1665,⬆️1
22,,Fidelity Investments,FIDELITY TECHNOLOGY GROUP LLC D B A FIDELITY INVESTMENTS,1574,
23,,Salesforce,SALESFORCE INC,1530,
24,Y,LTIMindtree,LTIMINDTREE LIMITED,1328,⬇️6
25,,Citibank,CITIBANK N A,1244,
26,,Qualcomm,QUALCOMM TECHNOLOGIES INC,1133,
27,Y,Tech Mahindra,TECH MAHINDRA AMERICAS INC,1099,⬇️1
28,,Tesla,TESLA INC,1076,
29,,Goldman Sachs,GOLDMAN SACHS AND CO LLC,1041,
30,,PayPal,PAYPAL INC,942,

