rank,是否ICC,简称 Employer (Petitioner) Name,全名 Employer (Petitioner) Name,Beneficiaries Approved,排名变化
1,Y,Cognizant,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,13254,
2,,Amazon,AMAZON,7608,
3,Y,TCS,TATA CONSULTANCY SERVICES LIMITED,7597,
4,,Deloitte,DELOITTE CONSULTING LLP,7042,
5,,Google,GOOGLE LLC,5977,
6,Y,Infosys,INFOSYS LIMITED,5488,
7,,Microsoft,MICROSOFT CORPORATION,5248,
8,,Apple,APPLE INC,3421,
9,,Meta,META PLATFORMS INC,3413,
10,Y,Capgemini,CAPGEMINI AMERICA INC,3271,
11,Y,Wipro,WIPRO LIMITED,3119,
12,,IBM,IBM CORPORATION,2918,
13,,EY,ERNST AND YOUNG U S LLP,2895,
14,Y,Tech Mahindra,TECH MAHINDRA AMERICAS INC,2796,
15,,Accenture,ACCENTURE LLP,2713,
16,,Intel,INTEL CORPORATION,2713,
17,Y,HCL,HCL AMERICA INC,2418,
18,Y,L&T Infotech,LARSEN AND TOUBRO INFOTECH LIMITED,2222,
19,,Cisco,CISCO SYSTEMS INC,2087,
20,,Oracle,ORACLE AMERICA INC,1892,
21,,PwC,PRICEWATERHOUSECOOPERS LLP,1714,
22,,Walmart,WAL-MART ASSOCIATES INC,1416,
23,,JPMorgan Chase,JPMORGAN CHASE AND CO,1298,
24,Y,Mphasis,MPHASIS LIMITED,1298,
25,,Salesforce,SALESFORCE INC,1298,
26,,Qualcomm,QUALCOMM TECHNOLOGIES INC,1255,
27,Y,Syntel,SYNTEL INC,1191,
28,,Uber,UBER TECHNOLOGIES INC,1137,
29,,Randstad,RANDSTAD US LP,1107,
30,Y,Mindtree,MINDTREE LIMITED,1019,

