rank,是否ICC,简称 Employer (Petitioner) Name,全名 Employer (Petitioner) Name,Beneficiaries Approved,排名变化
1,Y,Cognizant,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,22164,
2,Y,Infosys,INFOSYS LIMITED,13818,
3,Y,TCS,TATA CONSULTANCY SERVICES LIMITED,11625,
4,Y,Wipro,WIPRO LIMITED,7148,
5,,Accenture,ACCENTURE LLP,6899,
6,Y,HCL,HCL AMERICA INC,3667,
7,Y,Tech Mahindra,TECH MAHINDRA AMERICAS INC,3201,
8,,Microsoft,MICROSOFT CORPORATION,2992,
9,,Deloitte,DELOITTE CONSULTING LLP,2922,
10,,IBM,IBM CORPORATION,2779,
11,,Amazon,AMAZON,2506,
12,Y,Syntel,SYNTEL INC,2293,
13,,Apple,APPLE INC,2039,
14,,Google,GOOGLE LLC,2001,
15,,EY,ERNST AND YOUNG U S LLP,1710,
16,Y,L&T Infotech,LARSEN AND TOUBRO INFOTECH LIMITED,1697,
17,,Intel,INTEL CORPORATION,1602,
18,,Cisco,CISCO SYSTEMS INC,1593,
19,,Oracle,ORACLE AMERICA INC,1429,
20,,Qualcomm,QUALCOMM TECHNOLOGIES INC,1325,
21,,JPMorgan Chase,JPMORGAN CHASE AND CO,1257,
22,Y,UST,UST GLOBAL INC,1226,
23,Y,L&T Technology Services,LARSEN AND TOUBRO TECHNOLOGY SERVICES LIMITED,1182,
24,Y,Mindtree,MINDTREE LIMITED,1168,
25,Y,IGATE,IGATE CORPORATION,1122,
26,,PwC,PRICEWATERHOUSECOOPERS LLP,1114,
27,Y,Mphasis,MPHASIS LIMITED,1063,
28,,Meta,META PLATFORMS INC,978,

