rank,是否ICC,简称 Employer (Petitioner) Name,全名 Employer (Petitioner) Name,Beneficiaries Approved,排名变化
1,Y,Cognizant,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,9183,
2,Y,TCS,TATA CONSULTANCY SERVICES LIMITED,8757,
3,Y,Infosys,INFOSYS LIMITED,5699,
4,,Amazon,AMAZON,5233,
5,,Deloitte,DELOITTE CONSULTING LLP,4734,
6,,Microsoft,MICROSOFT CORPORATION,4445,
7,Y,Wipro,WIPRO LIMITED,3150,
8,,Apple,APPLE INC,3085,
9,Y,Capgemini,CAPGEMINI AMERICA INC,2876,
10,,Google,GOOGLE LLC,2637,
11,,Accenture,ACCENTURE LLP,2564,
12,,IBM,IBM CORPORATION,2544,
13,,EY,ERNST AND YOUNG U S LLP,2475,
14,Y,Tech Mahindra,TECH MAHINDRA AMERICAS INC,2360,
15,Y,HCL,HCL AMERICA INC,2296,
16,,JPMorgan Chase,JPMORGAN CHASE AND CO,2192,
17,,Meta,META PLATFORMS INC,1989,
18,,Intel,INTEL CORPORATION,1972,
19,,Cisco,CISCO SYSTEMS INC,1650,
20,,PwC,PRICEWATERHOUSECOOPERS LLP,1555,
21,Y,L&T Infotech,LARSEN AND TOUBRO INFOTECH LIMITED,1438,
22,,Oracle,ORACLE AMERICA INC,1294,
23,Y,Mphasis,MPHASIS LIMITED,1088,
24,Y,Syntel,SYNTEL INC,1040,
25,,Cummins,CUMMINS INC,916,
26,Y,Mindtree,MINDTREE LIMITED,912,
27,,Randstad,RANDSTAD US LP,901,
28,,Qualcomm,QUALCOMM TECHNOLOGIES INC,878,
29,,Walmart,WAL-MART ASSOCIATES INC,871,
30,,Salesforce,SALESFORCE INC,806,

